,title,catalog_product_id,site_id,category_id,domain_id,thumbnail,brand,package_length,package_weight,semantic_string
539,Audífonos Inalámbricos Skullcandy Ink'd+ Wireless Black,MLM15295676,MLM,MLM7533,MLM-HEADPHONES,http://http2.mlstatic.com/D_649467-MLA41281633295_032020-I.jpg,Skullcandy,,,Audífonos Inalámbricos Skullcandy Ink'd+ Wireless Black Skullcandy  
540,"Bafle Kaiser 15 Flame De 25,000 W Pmpo Con Ksr-link Y Micró Color Negro",MLM19930715,MLM,MLM59800,MLM-SPEAKERS,http://http2.mlstatic.com/D_862457-MLU73327940486_122023-I.jpg,Kaiser,,,"Bafle Kaiser 15 Flame De 25,000 W Pmpo Con Ksr-link Y Micró Color Negro Kaiser  "
541,Asistente Virtual Google Nest Mini Wifi Bluetooth Negro,MLM15541142,MLM,MLM187752,MLM-SMART_SPEAKERS,http://http2.mlstatic.com/D_896671-MLA45255603143_032021-I.jpg,Google,,,Asistente Virtual Google Nest Mini Wifi Bluetooth Negro Google  
542,Xiaomi Tv Box S 2nd Gen Color Negro,MLM24219631,MLM,MLM126075,MLM-STREAMING_MEDIA_DEVICES,http://http2.mlstatic.com/D_782199-MLU72520022456_102023-I.jpg,Xiaomi,,,Xiaomi Tv Box S 2nd Gen Color Negro Xiaomi  
543,Audífonos Huawei Freebuds Pro 2 Bluetooth 5.2 Azul,MLM20922193,MLM,MLM7533,MLM-HEADPHONES,http://http2.mlstatic.com/D_655892-MLU72853232952_112023-I.jpg,Huawei,10 cm,180 g,Audífonos Huawei Freebuds Pro 2 Bluetooth 5.2 Azul Huawei 10 cm 180 g
544,Bocina Bluetooth Portátil Subwoofer Altavoz Recargables,1563084996629730098,MLM,MLM59800,MLM-SPEAKERS,http://http2.mlstatic.com/D_780767-MLM74497230442_022024-I.jpg,Moreka,,,Bocina Bluetooth Portátil Subwoofer Altavoz Recargables Moreka  
545,Pantalla LG Qned 55 4k Smart Tv Con Thinq Ai 55qned75sra,MLM28039340,MLM,MLM1002,MLM-TELEVISIONS,http://http2.mlstatic.com/D_847688-MLU73058619026_112023-I.jpg,LG,133.5 cm,20620 g,Pantalla LG Qned 55 4k Smart Tv Con Thinq Ai 55qned75sra LG 133.5 cm 20620 g
546,Audífonos Gamer Inalámbricos Cat Stn-28 Negro Con Luz Led,MLM18723703,MLM,MLM7533,MLM-HEADPHONES,http://http2.mlstatic.com/D_676067-MLA48850429795_012022-I.jpg,CAT,14.8 cm,300 g,Audífonos Gamer Inalámbricos Cat Stn-28 Negro Con Luz Led CAT 14.8 cm 300 g
547,Rca Palomitero Con Tapa Medidora Rc-1025,MLM15343210,MLM,MLM187752,MLM-SMART_SPEAKERS,http://http2.mlstatic.com/D_771584-MLU72627879240_112023-I.jpg,RCA,,,Rca Palomitero Con Tapa Medidora Rc-1025 RCA  
548,Cable Hdmi 15 Metros Full Hd 1080p Ps3 Xbox 360 Laptop Tv Pc Color Negro/rojo,MLM26011686,MLM,MLM190072,MLM-AUDIO_AND_VIDEO_CABLES_AND_ADAPTERS,http://http2.mlstatic.com/D_962735-MLU72566184144_112023-I.jpg,Transhine,,,Cable Hdmi 15 Metros Full Hd 1080p Ps3 Xbox 360 Laptop Tv Pc Color Negro/rojo Transhine  
